"Notes"	"County"	"County Code"	"Year"	"Year Code"	Avg Fine Particulate Matter (µg/m³)
	"Autauga County, AL"	"01001"	"2003"	"2003"	15.08
	"Autauga County, AL"	"01001"	"2004"	"2004"	14.92
	"Autauga County, AL"	"01001"	"2005"	"2005"	16.25
	"Autauga County, AL"	"01001"	"2006"	"2006"	16.17
	"Autauga County, AL"	"01001"	"2007"	"2007"	15.40
	"Autauga County, AL"	"01001"	"2008"	"2008"	13.31
	"Baldwin County, AL"	"01003"	"2003"	"2003"	13.57
	"Baldwin County, AL"	"01003"	"2004"	"2004"	12.86
	"Baldwin County, AL"	"01003"	"2005"	"2005"	13.63
	"Baldwin County, AL"	"01003"	"2006"	"2006"	14.63
	"Baldwin County, AL"	"01003"	"2007"	"2007"	13.07
	"Baldwin County, AL"	"01003"	"2008"	"2008"	11.80
	"Barbour County, AL"	"01005"	"2003"	"2003"	13.91
	"Barbour County, AL"	"01005"	"2004"	"2004"	14.00
	"Barbour County, AL"	"01005"	"2005"	"2005"	14.80
	"Barbour County, AL"	"01005"	"2006"	"2006"	14.80
	"Barbour County, AL"	"01005"	"2007"	"2007"	14.24
	"Barbour County, AL"	"01005"	"2008"	"2008"	12.11
	"Bibb County, AL"	"01007"	"2003"	"2003"	15.47
	"Bibb County, AL"	"01007"	"2004"	"2004"	15.27
	"Bibb County, AL"	"01007"	"2005"	"2005"	16.97
	"Bibb County, AL"	"01007"	"2006"	"2006"	16.64
	"Bibb County, AL"	"01007"	"2007"	"2007"	15.96
	"Bibb County, AL"	"01007"	"2008"	"2008"	13.68
	"Blount County, AL"	"01009"	"2003"	"2003"	15.62
	"Blount County, AL"	"01009"	"2004"	"2004"	15.50
	"Blount County, AL"	"01009"	"2005"	"2005"	16.82
	"Blount County, AL"	"01009"	"2006"	"2006"	15.99
	"Blount County, AL"	"01009"	"2007"	"2007"	16.14
	"Blount County, AL"	"01009"	"2008"	"2008"	13.04
	"Bullock County, AL"	"01011"	"2003"	"2003"	14.32
	"Bullock County, AL"	"01011"	"2004"	"2004"	14.34
	"Bullock County, AL"	"01011"	"2005"	"2005"	15.23
	"Bullock County, AL"	"01011"	"2006"	"2006"	15.22
	"Bullock County, AL"	"01011"	"2007"	"2007"	14.62
	"Bullock County, AL"	"01011"	"2008"	"2008"	12.48
	"Butler County, AL"	"01013"	"2003"	"2003"	14.26
	"Butler County, AL"	"01013"	"2004"	"2004"	13.79
	"Butler County, AL"	"01013"	"2005"	"2005"	14.75
	"Butler County, AL"	"01013"	"2006"	"2006"	15.11
	"Butler County, AL"	"01013"	"2007"	"2007"	14.24
