0ward,1area,2may16,3may12,4edu,5age,6gender,7xcoord,8ycoord,9income,10populationsize
E05000064,0,0.280266920877,0.23112244898,1.87156082931,50.3747945898,0.523372491434,0.161955216133,51.4576597832,38.2,8172.0
E05000065,0,0.495341614907,0.451629327902,1.89989196975,46.4910849551,0.529802816901,0.150479916391,51.4920043432,33.51,8875.0
E05000066,0,0.278763074125,0.230769230769,1.8546877004,49.9679070929,0.522950224052,0.0917229036851,51.4455405206,40.78,8257.0
E05000067,0,0.232538330494,0.201359388275,1.89361966236,50.0975669397,0.519815450136,0.116884493007,51.4460150394,40.34,8453.0
E05000068,0,0.284392598552,0.246484698098,1.89296636086,52.1898533007,0.523781283359,0.139196969604,51.4682411797,40.79,8431.0
E05000069,0,0.327272727273,0.269865067466,2.04101061882,50.1525947037,0.523749281196,0.141009657781,51.4551404934,40.19,8695.0
E05000070,0,0.367721518987,0.358415841584,1.7621834839,48.0294882914,0.534730538922,0.170387460889,51.4699789573,34.45,8350.0
E05000072,0,0.325936883629,0.270478284772,1.8770983948,49.8971346361,0.543205574913,0.1335031612,51.4235477063,35.53,8610.0
E05000071,0,0.384658454647,0.345714285714,1.77553813612,48.144772118,0.52389380531,0.18187823485,51.4531117101,34.9,8475.0
E05000073,0,0.302914476828,0.237195425162,1.91408678354,49.5437810343,0.527787527788,0.118093915911,51.4570821751,38.58,8547.0
E05000074,0,0.357894736842,0.284740429995,1.75125313283,49.9262425205,0.522780925401,0.0971043819085,51.4681101842,36.26,8472.0
E05000075,0,0.523722627737,0.482461538462,1.93113917901,45.577782953,0.523158012785,0.167149122236,51.4863805878,33.16,8917.0
E05000076,0,0.300185013876,0.265906932574,1.87696004047,48.7985813868,0.516324349994,0.0963941743943,51.4581017806,39.0,8423.0
E05000077,0,0.429931253305,0.411530815109,1.91934679631,49.0489384671,0.526083932298,0.12991910278,51.4843212164,35.63,8626.0
E05000078,0,0.297274979356,0.207638279192,2.12439658374,51.456084785,0.543636791343,0.0938829757599,51.4272219019,40.88,8502.0
E05000079,0,0.53884180791,0.530872959546,1.70009068532,45.1380995242,0.538994800693,0.197385983054,51.4711947741,29.93,8078.0
E05000080,0,0.357619291945,0.300821355236,1.80687376074,48.9932016419,0.526744904262,0.152231688914,51.474891423,37.13,8095.0
E05000083,0,0.269841269841,0.204771371769,2.17570936721,50.4187924175,0.533643481221,0.105752115129,51.4340084723,41.22,8813.0
E05000081,0,0.233268101761,0.189833200953,2.15492247573,51.7540841584,0.518059234288,0.14647374402,51.4395864723,44.01,8306.0
E05000082,0,0.333333333333,0.268613138686,1.85710656675,48.2007698038,0.521384928717,0.118478165513,51.4705331555,38.51,8347.0
E05000084,0,0.651274982771,0.709111488398,2.11248250414,43.3150753143,0.525020801141,0.13534533576,51.5017250244,32.1,8413.0
E05000106,1,0.253370013755,0.164664518019,2.57548672566,51.9027850305,0.531070098205,0.0463315587959,51.4016349384,47.19,11812.0
E05000107,1,0.165909090909,0.149599287622,2.05633039946,50.0072934624,0.517232510288,0.0236730923458,51.3163709619,40.93,7776.0
E05000108,1,0.303201506591,0.231777493606,2.12993990166,50.0065073988,0.533494893543,0.0407760232994,51.3725180207,40.51,11554.0
E05000109,1,0.446453800509,0.279668540988,2.60817920918,46.8208398134,0.51666037023,0.014772167931,51.4037065409,43.46,13235.0
E05000110,1,0.249248428532,0.178418803419,2.34980218971,51.4615664514,0.518272719228,0.113222738689,51.3510812076,44.85,11301.0
E05000111,1,0.251485148515,0.157781862745,2.47286683327,52.359343807,0.529466553768,0.0743013478837,51.4131168827,46.25,11810.0
E05000112,1,0.568690958165,0.405925473427,2.48722611934,46.3324571816,0.530425461741,-0.0477056596487,51.4050476706,41.65,12128.0
E05000113,1,0.387777176852,0.219753827679,2.71684905053,47.4531042561,0.517575295463,-0.0193216631788,51.4118242351,43.17,13115.0
E05000114,1,0.381980290943,0.320906087777,1.74513743037,49.0351955805,0.540433244153,0.131683007184,51.3916789369,32.23,11587.0
E05000115,1,0.363338021566,0.323516673885,1.70826249575,48.7067149718,0.542361845853,0.10269056211,51.4002922626,31.74,12287.0
E05000116,1,0.742276766822,0.586097946288,2.4539540101,42.4510012782,0.515573432343,-0.0687776125126,51.4169295255,34.06,9696.0
E05000117,1,0.164505672609,0.144321093083,2.0754519256,52.8818639798,0.510219157843,0.0572773281508,51.3271416769,42.81,4061.0
E05000118,1,0.220460358056,0.155840684309,2.25811732606,53.7605406857,0.541265955587,0.0669484760739,51.365370382,44.59,11438.0
E05000119,1,0.259090909091,0.170223577236,2.32853025937,51.4974781439,0.525783289817,0.0115382467459,51.369778467,45.66,12256.0
E05000120,1,0.33826754386,0.237186788155,2.34725536993,50.9795471762,0.534230926153,-0.0297248378127,51.3937227963,44.7,12255.0
E05000121,1,0.414786967419,0.337484433375,1.83869596031,47.4559127915,0.553063676412,0.041539265843,51.4323692779,32.33,7491.0
E05000122,1,0.266471449488,0.208616780045,2.0629789483,51.940227704,0.525235671978,0.109502883216,51.3713544829,38.09,11987.0
E05000123,1,0.66504576659,0.520467836257,2.4014348346,44.8180616055,0.52854345534,-0.0483231512124,51.415986485,36.09,13278.0
E05000124,1,0.216662558541,0.149329283726,2.43231525195,52.4466324201,0.523399128904,0.0785016245937,51.3859571251,48.53,10791.0
E05000125,1,0.401015228426,0.281016949153,2.32042378917,48.3334203883,0.529600811908,0.0232783007706,51.4177514339,39.46,11824.0
E05000126,1,0.275009366804,0.153493699885,2.67120726496,51.8943885654,0.523017408124,-0.00167089057469,51.3964236172,48.02,7755.0
E05000127,1,0.260106788711,0.17556655379,2.36106115108,52.6870668707,0.529807104827,-0.0115865682559,51.3779117766,46.21,11457.0
E05000085,2,0.67581120944,0.716136195411,2.06211250141,43.1963674401,0.483823931468,-0.294475330851,51.540458879,31.25,10973.0
E05000086,2,0.62872715614,0.626578282828,2.39306247604,45.2225588643,0.502902155887,-0.27943816654,51.5711188282,34.63,12060.0
E05000087,2,0.603743528475,0.50288248337,2.69289745501,44.2125404769,0.508556301409,-0.218836228503,51.542922566,40.02,10577.0
E05000088,2,0.675044883303,0.681796911558,1.99066762383,45.2032801036,0.508851848017,-0.236595509234,51.5643539773,30.99,9659.0
E05000089,2,0.713309352518,0.694233687405,2.28591851322,43.0211122091,0.499741646573,-0.24167794705,51.5542481602,33.47,11612.0
E05000090,2,0.560947204969,0.581309180733,2.20879120879,45.244206052,0.50053465539,-0.265094188463,51.5820932492,35.59,10287.0
E05000091,2,0.819593787336,0.794631964213,1.89355581128,43.2166395618,0.517414161327,-0.250668090515,51.5408887653,27.03,12174.0
E05000092,2,0.736946202532,0.634899328859,2.32361111111,42.8224589436,0.501369394043,-0.236719743794,51.5349571116,34.64,11684.0
E05000093,2,0.368769606135,0.366382649109,2.52767067362,48.3762428602,0.503363914373,-0.299916037648,51.5812596691,42.19,9810.0
E05000094,2,0.766153846154,0.718739054291,2.53689974726,41.8193933824,0.511375387797,-0.198600688199,51.5368460038,34.27,13538.0
E05000095,2,0.66318537859,0.624649859944,2.7066078502,41.3615597977,0.486446255092,-0.218739125202,51.5538585956,36.83,12764.0
E05000096,2,0.500345303867,0.478279569892,2.66297743056,45.0418816388,0.509082125604,-0.317982183824,51.5690398774,41.1,10350.0
E05000097,2,0.583221925134,0.546411856474,2.42806983322,44.8343205575,0.503184713376,-0.297021169099,51.5661651925,35.96,11932.0
E05000098,2,0.64674983585,0.527073078379,2.8195037717,42.5149630128,0.508757637475,-0.213783518888,51.5351986156,42.88,12275.0
E05000099,2,0.53703129842,0.607942238267,2.19523902821,45.312306193,0.510026452769,-0.272952580835,51.5923408319,35.11,11719.0
E05000100,2,0.832848837209,0.856091277144,1.82820439076,43.8002183406,0.532297273832,-0.266853229174,51.5420371803,25.8,11518.0
E05000101,2,0.641445126108,0.691973111902,2.32933194154,43.7281597254,0.490310245937,-0.314912428767,51.5561930058,33.53,11507.0
E05000102,2,0.67197875166,0.67434595861,2.2877315974,43.2558139535,0.472736410085,-0.278430614742,51.5537147448,33.13,11939.0
E05000103,2,0.62510495382,0.623605150215,2.02540937324,44.9149801587,0.509496993414,-0.257769449041,51.5665868525,31.62,10477.0
E05000104,2,0.64746835443,0.726636475916,2.1834207765,43.0841371919,0.469502819067,-0.297252347269,51.5500016455,31.04,11706.0
E05000105,2,0.736231884058,0.740482822656,2.37018949013,40.6725873298,0.50179007323,-0.234914305399,51.5455052505,31.39,12290.0
E05000285,3,0.317820206842,0.323608617594,2.47423459745,47.5647101713,0.51489660007,-0.310057413357,51.604455996,42.38,8559.0
E05000286,3,0.312789454934,0.217795484728,2.5047786444,50.4781246737,0.528322880842,-0.305780690908,51.6230436495,39.89,9886.0
E05000287,3,0.524977698483,0.610187110187,2.13935268431,44.7344528083,0.50745272525,-0.279541044917,51.6031374622,33.6,8990.0
E05000288,3,0.543161978661,0.514076576577,2.80649466192,41.9706940874,0.499011271505,-0.332120172288,51.5821276204,37.55,10114.0
E05000289,3,0.47956787224,0.445504771472,2.65092570893,45.80207502,0.495594474056,-0.339933892698,51.5682720584,39.63,9193.0
E05000290,3,0.382110091743,0.399004975124,2.27835051546,49.4457845572,0.527951724923,-0.346976299028,51.6144585837,36.94,8783.0
E05000291,3,0.294709388972,0.26881270903,2.58070665989,51.4975460123,0.53304751697,-0.371372244566,51.6101682517,42.35,8397.0
E05000292,3,0.383720930233,0.33970856102,2.69782056425,49.3748704663,0.512797992472,-0.36408626092,51.5943218047,44.47,7970.0
E05000293,3,0.548526863085,0.55098133078,2.69912641316,45.6984760522,0.515179713854,-0.351163592927,51.58680545,39.09,8597.0
