"","ELmap$GSS_CODE"
"1","E05000405"
"2","E05000414"
"3","E05000401"
"4","E05000400"
"5","E05000402"
"6","E05000406"
"7","E05000404"
"8","E05000413"
"9","E05000410"
"10","E05000412"
"11","E05000408"
"12","E05000403"
"13","E05000409"
"14","E05000407"
"15","E05000411"
"16","E05000415"
"17","E05000150"
"18","E05000162"
"19","E05000151"
"20","E05000167"
"21","E05000156"
"22","E05000159"
"23","E05000160"
"24","E05000155"
"25","E05000153"
"26","E05000149"
"27","E05000168"
"28","E05000148"
"29","E05000158"
"30","E05000157"
"31","E05000152"
"32","E05000154"
"33","E05000163"
"34","E05000161"
"35","E05000147"
"36","E05000169"
"37","E05000165"
"38","E05000166"
"39","E05000164"
"40","E05000146"
"41","E05000117"
"42","E05000119"
"43","E05000108"
"44","E05000110"
"45","E05000107"
"46","E05000127"
"47","E05000112"
"48","E05000120"
"49","E05000118"
"50","E05000126"
"51","E05000109"
"52","E05000106"
"53","E05000124"
"54","E05000116"
"55","E05000123"
"56","E05000113"
"57","E05000125"
"58","E05000111"
"59","E05000121"
"60","E05000122"
"61","E05000115"
"62","E05000114"
"63","E05000346"
"64","E05000353"
"65","E05000350"
"66","E05000364"
"67","E05000357"
"68","E05000356"
"69","E05000363"
"70","E05000347"
"71","E05000348"
"72","E05000352"
"73","E05000354"
"74","E05000351"
"75","E05000359"
"76","E05000361"
"77","E05000355"
"78","E05000360"
"79","E05000362"
"80","E05000358"
"81","E05000349"
"82","E05000365"
"83","E05000186"
"84","E05000190"
"85","E05000185"
"86","E05000172"
"87","E05000177"
"88","E05000183"
"89","E05000182"
"90","E05000175"
"91","E05000189"
"92","E05000176"
"93","E05000192"
"94","E05000181"
"95","E05000184"
"96","E05000180"
"97","E05000171"
"98","E05000178"
"99","E05000187"
"100","E05000174"
"101","E05000173"
"102","E05000188"
"103","E05000191"
"104","E05000170"
"105","E05000179"
"106","E05000323"
"107","E05000318"
"108","E05000321"
"109","E05000308"
"110","E05000306"
"111","E05000319"
"112","E05000316"
"113","E05000317"
"114","E05000311"
"115","E05000320"
"116","E05000309"
"117","E05000322"
"118","E05000312"
"119","E05000307"
"120","E05000313"
"121","E05000314"
"122","E05000310"
"123","E05000315"
"124","E05000331"
"125","E05000330"
"126","E05000342"
"127","E05000345"
"128","E05000341"
"129","E05000326"
"130","E05000340"
"131","E05000332"
"132","E05000333"
"133","E05000343"
"134","E05000335"
"135","E05000338"
"136","E05000334"
"137","E05000329"
"138","E05000336"
"139","E05000337"
"140","E05000325"
"141","E05000328"
"142","E05000339"
"143","E05000324"
"144","E05000344"
"145","E05000327"
"146","E05000302"
"147","E05000289"
"148","E05000297"
"149","E05000298"
"150","E05000288"
